ID RA DEC MAG MAG_ERR
519 53.11341212289474 -27.923778367040864 27.371294021606445 30.240131378173828
549 53.11399120971899 -27.923411037494503 27.13243865966797 30.217798233032227
615 53.112277009089226 -27.92274392048334 27.823240280151367 30.768341064453125
751 53.11224501609703 -27.92134039777969 26.60497283935547 30.631046295166016
786 53.11329522168558 -27.920938635795903 25.600309371948242 30.7010555267334
861 53.1079926547884 -27.920249292095896 27.03022003173828 30.833110809326172
878 53.10942434588243 -27.920074968469436 27.988513946533203 30.72863006591797
886 53.11407624082152 -27.920031740661948 27.743221282958984 30.934844970703125
912 53.109271241906725 -27.919716020752904 27.483720779418945 30.730913162231445
949 53.11776898999618 -27.919350493421145 25.57796859741211 29.98505401611328
962 53.11189823040625 -27.919296189764513 26.063629150390625 30.779314041137695
979 53.11333792230531 -27.91923117675289 27.84465980529785 30.946861267089844
997 53.11782269368761 -27.918869139800844 25.266517639160156 29.992870330810547
998 53.112149272209194 -27.919027175150838 27.020057678222656 30.891021728515625
1003 53.11261212473576 -27.91902422247708 27.369325637817383 30.879798889160156
1035 53.10901284038954 -27.918723136665772 27.153690338134766 30.886085510253906
1083 53.11093396383432 -27.91836520697947 27.969501495361328 30.949535369873047
1114 53.10982027485218 -27.918129342943974 27.922868728637695 30.961397171020508
1141 53.11828426758318 -27.917943176759234 27.544124603271484 30.18876838684082
1144 53.10517760765091 -27.91789201422449 27.473796844482422 30.711658477783203
1163 53.10484641576569 -27.9176894300946 26.958602905273438 30.669395446777344
1204 53.11987002820798 -27.91740923481727 27.906837463378906 30.136850357055664
1223 53.10987545283869 -27.917208031503947 27.963865280151367 30.941211700439453
1226 53.11976744654711 -27.91717356788724 27.369699478149414 30.2104549407959
1275 53.1050540727807 -27.916888018629848 27.5684814453125 30.773426055908203
1276 53.10609732107679 -27.916882902726357 27.79861068725586 30.798032760620117
1280 53.10987923026095 -27.9167708614499 25.228578567504883 30.601337432861328
1286 53.10655857170961 -27.916766552364994 26.507781982421875 30.84686279296875
1296 53.104566267475654 -27.916797503408436 27.413375854492188 30.680513381958008
1312 53.113420792050896 -27.91668277551369 27.62200164794922 30.946598052978516
1322 53.10814750491085 -27.91664248774134 27.04275894165039 30.892610549926758
1341 53.106911391124115 -27.916515460807307 26.445932388305664 30.83251190185547
1353 53.12071594939186 -27.91652617534292 27.195735931396484 30.19748306274414
1361 53.119759419740525 -27.91650215844859 26.092037200927734 30.104244232177734
1362 53.11534760315577 -27.916504910810183 27.75067901611328 30.876447677612305
1363 53.11104187022489 -27.91649704202365 26.53912353515625 30.86699676513672
1369 53.111404311348 -27.916467986661576 27.365800857543945 30.905792236328125
1391 53.10748208684263 -27.916274307403956 26.354351043701172 30.831710815429688
1414 53.11752176320178 -27.91608647169698 27.356700897216797 30.883657455444336
1421 53.115350623713844 -27.915989388035786 26.955068588256836 30.851943969726562
1428 53.07006642261069 -27.915793367446586 24.761577606201172 30.06008529663086
1435 53.10870573595815 -27.915924546975777 27.690505981445312 30.942577362060547
1441 53.11219869322295 -27.91580674201513 25.006423950195312 30.564952850341797
1490 53.10641159671358 -27.915539738589356 27.669801712036133 30.962665557861328
1495 53.115588962841 -27.91548242488421 27.663267135620117 30.909137725830078
1498 53.116580376450216 -27.91539664571644 26.046127319335938 30.75592041015625
1501 53.121396907744604 -27.91542349614071 27.757205963134766 30.194847106933594
